cell,family,symbol,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,cum_in_pct,worst_m_in_pct,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005
Monx3 GBPAUD,Monx3,GBPAUD,28,48,58,0.15616340373663462,0.1,4.5,-4.33,4,12,-8.45,False,False
Tuex2 GBPCAD,Tuex2,GBPCAD,28,48,58,0.15616340373663462,0.1,4.9,-2.07,3,12,-4.33,False,False
TOM NZDUSD,TOM,NZDUSD,28,48,58,0.15616340373663462,0.09,4.0,-2.56,4,11,-3.05,False,False
Tuex2 USDJPY,Tuex2,USDJPY,28,48,58,0.15616340373663462,0.08,2.8,-5.56,7,12,3.44,False,False
TOM UK100,TOM,UK100,28,48,58,0.15616340373663462,0.06,2.6,-4.11,6,11,6.86,False,False
Tue BTCUSD,Tue,BTCUSD,28,48,58,0.15616340373663462,0.06,-6.1,-17.96,5,12,-23.89,False,False
Tuex2 EURAUD,Tuex2,EURAUD,28,48,58,0.15616340373663462,0.06,2.3,-3.02,2,12,-6.27,False,False
TOM EURAUD,TOM,EURAUD,28,48,58,0.15616340373663462,0.06,2.4,-3.5,1,11,-5.34,False,False
Tue GBPCAD,Tue,GBPCAD,28,48,58,0.15616340373663462,0.06,2.7,-1.53,4,12,-4.14,False,False
Thux2 US30,Thux2,US30,28,48,58,0.15616340373663462,0.06,0.6,-7.85,7,12,-1.66,False,False
Monx3 EURAUD,Monx3,EURAUD,28,48,58,0.15616340373663462,0.04,1.0,-5.14,2,12,-10.6,False,False
Monx2 EURCAD,Monx2,EURCAD,28,48,58,0.15616340373663462,0.04,1.8,-2.82,7,12,1.96,False,False
Tue NZDJPY,Tue,NZDJPY,28,48,58,0.15616340373663462,0.03,1.0,-4.24,7,12,0.22,False,False
Tue CADJPY,Tue,CADJPY,28,48,58,0.15616340373663462,0.03,1.1,-3.83,7,12,2.8,False,False
Wed EURGBP,Wed,EURGBP,28,48,58,0.15616340373663462,0.02,1.0,-1.39,3,12,-3.17,False,False
FriS EURGBP,FriS,EURGBP,28,48,58,0.15616340373663462,-0.0,-0.4,-2.95,10,12,2.43,False,False
Tuex3 GBPJPY,Tuex3,GBPJPY,28,48,58,0.15616340373663462,-0.02,-2.0,-7.33,7,12,-2.82,False,False
TOM AUDUSD,TOM,AUDUSD,28,48,58,0.15616340373663462,-0.03,-1.9,-2.66,8,11,2.05,False,False
Wedx3 NAS100,Wedx3,NAS100,28,48,58,0.15616340373663462,-0.04,-9.1,-16.09,5,12,-8.07,False,False
Tuex3 AUDJPY,Tuex3,AUDJPY,28,48,58,0.15616340373663462,-0.06,-4.7,-9.0,7,12,4.5,False,False
MonS ETHUSD,MonS,ETHUSD,28,48,58,0.15616340373663462,-0.16,-18.5,-18.8,5,12,-23.57,False,False
Tuex3 XAGUSD,Tuex3,XAGUSD,27,48,56,0.2354395068108559,2.06,147.2,-8.93,7,12,50.38,False,False
Monx2 BTCUSD,Monx2,BTCUSD,27,48,56,0.2354395068108559,1.39,65.6,-16.29,6,12,-11.27,False,False
Thux3 XAUUSD,Thux3,XAUUSD,27,48,56,0.2354395068108559,0.86,46.9,-6.51,5,12,-9.35,False,False
Monx3 FR40,Monx3,FR40,27,48,56,0.2354395068108559,0.74,35.9,-6.54,6,12,8.52,False,False
FriS NATGAS,FriS,NATGAS,27,48,56,0.2354395068108559,0.66,10.5,-21.27,6,12,-25.93,False,False
Monx3 XAUUSD,Monx3,XAUUSD,27,48,56,0.2354395068108559,0.58,29.6,-6.52,7,11,20.54,False,False
